time,bid,ask,last,volume,time_msc,flags,volume_real
1740587568,31.568,31.587,0.0,0,1740587568802,134,0.0
1740587569,31.573,31.592,0.0,0,1740587569131,134,0.0
1740587569,31.571,31.59,0.0,0,1740587569166,134,0.0
1740587569,31.573,31.592,0.0,0,1740587569462,134,0.0
1740587569,31.571,31.59,0.0,0,1740587569791,134,0.0
1740587570,31.573,31.592,0.0,0,1740587570122,134,0.0
1740587570,31.572,31.591,0.0,0,1740587570129,134,0.0
1740587570,31.573,31.592,0.0,0,1740587570453,134,0.0
1740587571,31.574,31.593,0.0,0,1740587571113,134,0.0
1740587571,31.575,31.594,0.0,0,1740587571441,134,0.0
1740587571,31.576999999999998,31.596,0.0,0,1740587571448,134,0.0
1740587571,31.575,31.594,0.0,0,1740587571771,134,0.0
1740587572,31.576,31.595,0.0,0,1740587572100,134,0.0
1740587572,31.578,31.597,0.0,0,1740587572430,134,0.0
1740587573,31.576999999999998,31.596,0.0,0,1740587573421,134,0.0
1740587573,31.576,31.595,0.0,0,1740587573751,134,0.0
1740587574,31.576999999999998,31.596,0.0,0,1740587574082,134,0.0
1740587574,31.581,31.6,0.0,0,1740587574411,134,0.0
1740587574,31.582,31.601,0.0,0,1740587574742,134,0.0
1740587576,31.588,31.607,0.0,0,1740587576724,134,0.0
1740587576,31.589,31.608,0.0,0,1740587576755,134,0.0
1740587577,31.591,31.61,0.0,0,1740587577050,134,0.0
1740587577,31.592,31.611,0.0,0,1740587577060,134,0.0
1740587577,31.588,31.607,0.0,0,1740587577383,134,0.0
1740587577,31.589,31.608,0.0,0,1740587577416,134,0.0
1740587577,31.588,31.607,0.0,0,1740587577715,134,0.0
1740587578,31.591,31.61,0.0,0,1740587578040,134,0.0
1740587578,31.592,31.611,0.0,0,1740587578374,134,0.0
1740587580,31.592,31.611,0.0,0,1740587580021,130,0.0
1740587580,31.594,31.613,0.0,0,1740587580360,134,0.0
1740587580,31.592,31.611,0.0,0,1740587580683,134,0.0
1740587581,31.595,31.614,0.0,0,1740587581339,134,0.0
1740587581,31.596,31.615,0.0,0,1740587581673,134,0.0
1740587581,31.598,31.617,0.0,0,1740587581999,134,0.0
1740587582,31.6,31.619,0.0,0,1740587582331,134,0.0
1740587582,31.601,31.62,0.0,0,1740587582661,134,0.0
1740587583,31.604,31.623,0.0,0,1740587583652,134,0.0
1740587583,31.605,31.624,0.0,0,1740587583690,134,0.0
1740587583,31.606,31.625,0.0,0,1740587583996,134,0.0
1740587584,31.609,31.628,0.0,0,1740587584346,134,0.0
1740587584,31.608,31.627,0.0,0,1740587584643,134,0.0
1740587584,31.609,31.628,0.0,0,1740587584651,134,0.0
1740587584,31.614,31.633,0.0,0,1740587584977,134,0.0
1740587585,31.615,31.634,0.0,0,1740587585303,134,0.0
1740587585,31.616,31.635,0.0,0,1740587585964,134,0.0
1740587586,31.615,31.634,0.0,0,1740587586319,134,0.0
1740587586,31.616,31.635,0.0,0,1740587586623,134,0.0
1740587586,31.624,31.643,0.0,0,1740587586951,134,0.0
1740587586,31.622,31.641,0.0,0,1740587586974,134,0.0
1740587587,31.621,31.64,0.0,0,1740587587283,134,0.0
1740587588,31.625,31.644,0.0,0,1740587588273,134,0.0
1740587588,31.623,31.642,0.0,0,1740587588290,134,0.0
1740587588,31.621,31.64,0.0,0,1740587588603,134,0.0
1740587588,31.622,31.641,0.0,0,1740587588932,134,0.0
1740587589,31.629,31.648,0.0,0,1740587589263,134,0.0
1740587589,31.635,31.654,0.0,0,1740587589920,134,0.0
1740587590,31.636,31.655,0.0,0,1740587590252,134,0.0
1740587590,31.637,31.656,0.0,0,1740587590581,134,0.0
1740587591,31.636,31.655,0.0,0,1740587591244,134,0.0
1740587591,31.635,31.654,0.0,0,1740587591902,134,0.0
1740587592,31.636,31.655,0.0,0,1740587592231,134,0.0
1740587592,31.637,31.656,0.0,0,1740587592234,134,0.0
1740587592,31.635,31.654,0.0,0,1740587592562,134,0.0
1740587592,31.631,31.65,0.0,0,1740587592895,134,0.0
1740587592,31.632,31.651,0.0,0,1740587592898,134,0.0
1740587593,31.631,31.65,0.0,0,1740587593222,134,0.0
1740587593,31.634,31.653,0.0,0,1740587593558,134,0.0
1740587593,31.636,31.655,0.0,0,1740587593883,134,0.0
1740587594,31.637,31.656,0.0,0,1740587594211,134,0.0
1740587594,31.64,31.659,0.0,0,1740587594874,134,0.0
1740587594,31.637,31.656,0.0,0,1740587594876,134,0.0
1740587595,31.638,31.657,0.0,0,1740587595202,134,0.0
1740587595,31.637,31.656,0.0,0,1740587595223,134,0.0
1740587595,31.636,31.655,0.0,0,1740587595533,134,0.0
1740587595,31.637,31.656,0.0,0,1740587595578,134,0.0
1740587595,31.636,31.655,0.0,0,1740587595860,134,0.0
1740587595,31.637,31.656,0.0,0,1740587595880,134,0.0
1740587596,31.636,31.655,0.0,0,1740587596191,134,0.0
1740587596,31.637,31.656,0.0,0,1740587596235,134,0.0
1740587596,31.635,31.654,0.0,0,1740587596524,134,0.0
1740587596,31.634,31.653,0.0,0,1740587596851,134,0.0
1740587596,31.633,31.652,0.0,0,1740587596897,134,0.0
1740587597,31.634,31.653,0.0,0,1740587597183,134,0.0
1740587597,31.635,31.654,0.0,0,1740587597198,134,0.0
1740587597,31.633,31.652,0.0,0,1740587597840,134,0.0
1740587598,31.632,31.651,0.0,0,1740587598171,134,0.0
1740587598,31.631,31.65,0.0,0,1740587598210,134,0.0
1740587598,31.632,31.651,0.0,0,1740587598500,134,0.0
1740587598,31.633,31.652,0.0,0,1740587598514,134,0.0
1740587598,31.632,31.651,0.0,0,1740587598868,134,0.0
1740587601,31.631,31.65,0.0,0,1740587601142,134,0.0
1740587601,31.632,31.651,0.0,0,1740587601803,134,0.0
1740587601,31.631,31.65,0.0,0,1740587601847,134,0.0
1740587602,31.632,31.651,0.0,0,1740587602131,134,0.0
1740587602,31.633,31.652,0.0,0,1740587602461,134,0.0
1740587602,31.631,31.65,0.0,0,1740587602794,134,0.0
1740587602,31.632,31.651,0.0,0,1740587602810,134,0.0
1740587603,31.631,31.65,0.0,0,1740587603451,134,0.0
1740587603,31.632,31.651,0.0,0,1740587603465,134,0.0
1740587604,31.633,31.652,0.0,0,1740587604111,134,0.0
1740587604,31.634,31.653,0.0,0,1740587604771,134,0.0
1740587605,31.637,31.656,0.0,0,1740587605100,134,0.0
1740587605,31.636,31.655,0.0,0,1740587605432,134,0.0
1740587605,31.631,31.65,0.0,0,1740587605759,134,0.0
1740587605,31.632,31.651,0.0,0,1740587605791,134,0.0
1740587606,31.633,31.652,0.0,0,1740587606423,134,0.0
1740587606,31.634,31.653,0.0,0,1740587606454,134,0.0
1740587607,31.631,31.65,0.0,0,1740587607106,134,0.0
1740587607,31.629,31.648,0.0,0,1740587607412,134,0.0
1740587607,31.627,31.646,0.0,0,1740587607765,134,0.0
1740587608,31.63,31.649,0.0,0,1740587608072,134,0.0
1740587608,31.627,31.646,0.0,0,1740587608431,134,0.0
1740587608,31.628,31.647,0.0,0,1740587608732,134,0.0
1740587609,31.626,31.645,0.0,0,1740587609061,134,0.0
1740587609,31.627,31.646,0.0,0,1740587609721,134,0.0
1740587609,31.629,31.648,0.0,0,1740587609735,134,0.0
1740587610,31.626,31.645,0.0,0,1740587610048,134,0.0
1740587610,31.627,31.646,0.0,0,1740587610393,134,0.0
1740587610,31.62,31.639,0.0,0,1740587610710,134,0.0
1740587611,31.624,31.643,0.0,0,1740587611371,134,0.0
1740587611,31.626,31.645,0.0,0,1740587611702,134,0.0
1740587612,31.627,31.646,0.0,0,1740587612362,134,0.0
1740587612,31.631,31.65,0.0,0,1740587612691,134,0.0
1740587613,31.63,31.649,0.0,0,1740587613352,134,0.0
1740587613,31.628,31.647,0.0,0,1740587613681,134,0.0
1740587613,31.629,31.648,0.0,0,1740587613689,134,0.0
1740587614,31.626,31.645,0.0,0,1740587614011,134,0.0
1740587614,31.627,31.646,0.0,0,1740587614671,134,0.0
1740587615,31.629,31.648,0.0,0,1740587615333,134,0.0
1740587616,31.63,31.649,0.0,0,1740587616320,134,0.0
1740587616,31.629,31.648,0.0,0,1740587616980,134,0.0
1740587617,31.627,31.646,0.0,0,1740587617643,134,0.0
1740587618,31.629,31.648,0.0,0,1740587618301,134,0.0
1740587618,31.628,31.647,0.0,0,1740587618650,134,0.0
1740587618,31.627,31.646,0.0,0,1740587618961,134,0.0
1740587619,31.626,31.645,0.0,0,1740587619289,134,0.0
1740587619,31.624,31.643,0.0,0,1740587619652,134,0.0
1740587619,31.626,31.645,0.0,0,1740587619955,134,0.0
1740587620,31.624,31.643,0.0,0,1740587620612,134,0.0
1740587620,31.625,31.644,0.0,0,1740587620615,134,0.0
1740587620,31.622,31.641,0.0,0,1740587620939,134,0.0
1740587621,31.621,31.64,0.0,0,1740587621274,134,0.0
1740587622,31.62,31.639,0.0,0,1740587622591,134,0.0
1740587622,31.621,31.64,0.0,0,1740587622638,134,0.0
1740587622,31.624,31.643,0.0,0,1740587622922,134,0.0
1740587623,31.621,31.64,0.0,0,1740587623251,134,0.0
