datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2020-12-06,1607212800,126.233,126.731,125.778,125.986,171763,0,0,125.986,125.986,125.986,125.986
2020-12-13,1607817600,126.079,127.005,125.699,126.613,165347,0,0,126.12533333333333,126.07557142857144,126.043,125.99223880597016
2020-12-20,1608422400,126.496,126.65,125.906,126.245,142627,0,0,126.15192592592592,126.0997755102041,126.06136363636365,125.99475384272668
2020-12-27,1609027200,126.192,127.227,126.041,126.165,122774,0,0,126.15483127572016,126.10909329446066,126.07078512396696,125.99644783434134
2021-01-03,1609632000,126.22,127.484,126.043,127.049,215329,0,0,126.35353543667124,126.24336568096629,126.15971374906087,126.00692099021855
2021-01-10,1610236800,126.898,127.005,125.397,125.417,176527,0,0,126.14541645074429,126.12531344082825,126.09219431732807,126.00105112961936
2021-01-17,1610841600,125.376,126.39,125.082,126.283,144281,0,0,126.17599057280113,126.1478400921385,126.10954028848006,126.00385659101619
2021-01-24,1611446400,126.262,127.334,125.592,127.092,166937,0,0,126.37954822328976,126.28272007897587,126.19885480770915,126.01468388861802
2021-01-31,1612051200,127.096,127.109,126.092,126.942,140862,0,0,126.50453750700315,126.37690292483646,126.26641346155378,126.02391091460194
2021-02-07,1612656000,126.816,127.297,126.428,127.156,122035,0,0,126.64930694989133,126.48820250700268,126.34728496504889,126.03517548261586
2021-02-14,1613260800,127.14,128.425,127.135,127.746,129021,0,0,126.89301651658215,126.66788786314515,126.47444087731716,126.05219861214208
2021-02-21,1613865600,127.754,129.967,127.496,128.612,186918,0,0,127.27501284623055,126.94561816841014,126.66876443392468,126.07766927271778
2021-02-28,1614470400,128.546,129.629,128.177,129.094,186816,0,0,127.67923221373486,127.25252985863726,126.88924039447699,126.10768251378528
2021-03-07,1615075200,129.041,130.383,128.772,130.305,164558,0,0,128.26273616623823,127.68859702168908,127.19976399497907,126.14944686688195
2021-03-14,1615680000,130.174,130.655,129.311,129.605,144492,0,0,128.56101701818528,127.9623688757335,127.41842181361733,126.1838304801468
2021-03-21,1616284800,129.042,129.932,128.284,129.344,135329,0,0,128.73501323636634,128.1597447506287,127.59347437601575,126.21527495298116
2021-03-28,1616889600,129.327,130.291,128.824,130.101,125296,0,0,129.03856585050715,128.43706692911033,127.82143125092341,126.25393888379728
2021-04-04,1617494400,130.06,130.676,129.565,130.5,129825,0,0,129.3633289948389,128.73177165352314,128.06493750083948,126.29618824813761
2021-04-11,1618099200,130.364,130.603,129.792,130.348,133531,0,0,129.5821447737636,128.96266141730555,128.2724886371268,126.33650478298202
2021-04-18,1618704000,130.213,130.964,129.583,130.476,148342,0,0,129.7807792684828,129.17885264340478,128.47280785193345,126.37769379011652
2021-04-25,1619308800,130.479,132.356,130.202,131.431,150754,0,0,130.14749498659774,129.50058798006125,128.74173441084858,126.42797544394621
2021-05-02,1619913600,131.454,132.165,130.975,132.078,144473,0,0,130.57649610068714,129.86878969719535,129.0450312825896,126.48419459375769
2021-05-09,1620518400,132.055,132.835,131.663,132.797,164734,0,0,131.06994141164554,130.28710545473888,129.38611934780872,126.5470085778994
2021-05-16,1621123200,132.619,133.428,132.508,132.712,146790,0,0,131.43484332016874,130.63351896120474,129.68847213437155,126.60835177612925
2021-05-23,1621728000,132.636,134.046,132.512,133.928,140171,0,0,131.988878137909,131.10415910960407,130.07388375851957,126.6811840967648
2021-05-30,1622332800,133.944,134.116,133.132,133.249,127553,0,0,132.26890521837367,131.4105649510892,130.36253068956324,126.74653549878704
2021-06-06,1622937600,133.186,133.748,132.656,132.792,114693,0,0,132.38514850317952,131.60791281521932,130.58339153596657,126.80668937442101
2021-06-13,1623542400,132.708,133.672,130.604,130.74,138564,0,0,132.0195599469174,131.483925270188,130.5976286690605,126.84582679358101
2021-06-20,1624147200,130.694,132.686,130.019,132.221,142028,0,0,132.06432440315797,131.58922166016114,130.74520788096407,126.89931110409265
2021-06-27,1624752000,132.214,132.421,131.271,131.712,141945,0,0,131.98603009134507,131.60676142299528,130.8330980736037,126.94719855579322
2021-07-04,1625356800,131.625,131.857,129.616,130.783,161476,0,0,131.71869007104615,131.48908121971024,130.8285437032761,126.98536573434255
2021-07-11,1625961600,130.75,131.078,129.603,129.939,156834,0,0,131.32320338859145,131.26764104546592,130.74767609388735,127.01475513002073
2021-07-18,1626566400,129.932,130.289,128.589,130.116,171883,0,0,131.05493596890446,131.10312089611367,130.69025099444303,127.04561328793098
2021-07-25,1627171200,130.073,130.553,129.539,130.171,112393,0,0,130.85850575359237,130.96996076809745,130.64304635858457,127.07671166317546
2021-08-01,1627776000,130.148,130.414,129.129,129.635,97930,0,0,130.58661558612738,130.7792520869407,130.55140578053144,127.102167268517
2021-08-08,1628380800,129.651,129.797,129.227,129.278,74082,0,0,130.2958121225435,130.56478750309202,130.43564161866493,127.12381734544718
2021-08-15,1628985600,129.289,129.424,127.926,128.436,97737,0,0,129.88252053975606,130.26067500265032,130.25385601696811,127.13687388927359
2021-08-22,1629590400,128.346,129.756,128.304,129.562,85442,0,0,129.8112937531436,130.160864287986,130.19096001542556,127.16100449734051
2021-08-29,1630195200,129.534,130.736,129.481,130.289,80257,0,0,129.91745069688946,130.17916938970228,130.19987274129596,127.19212883070031
2021-09-05,1630800000,130.307,130.686,129.661,129.8,78727,0,0,129.89135054202512,130.12500233403054,130.16352067390542,127.21807779755902
2021-09-12,1631404800,129.82,130.187,128.602,128.95,84269,0,0,129.68216153268622,129.95714485774047,130.0532006126413,127.23531085429973
