time,bid,ask,last,volume,time_msc,flags,volume_real
1740580751,1.04901,1.0491,0.0,0,1740580751984,134,0.0
1740580751,1.04904,1.04913,0.0,0,1740580751989,134,0.0
1740580751,1.04906,1.04915,0.0,0,1740580751999,134,0.0
1740580752,1.04907,1.04916,0.0,0,1740580752002,134,0.0
1740580752,1.04909,1.04918,0.0,0,1740580752045,134,0.0
1740580752,1.04911,1.0492,0.0,0,1740580752060,134,0.0
1740580753,1.04912,1.04921,0.0,0,1740580753268,134,0.0
1740580754,1.04911,1.0492,0.0,0,1740580754317,134,0.0
1740580756,1.04909,1.04918,0.0,0,1740580756170,134,0.0
1740580756,1.04907,1.04916,0.0,0,1740580756187,134,0.0
1740580756,1.04905,1.04914,0.0,0,1740580756207,134,0.0
1740580756,1.04903,1.04912,0.0,0,1740580756527,134,0.0
1740580756,1.04901,1.0491,0.0,0,1740580756839,134,0.0
1740580757,1.049,1.04909,0.0,0,1740580757155,134,0.0
1740580757,1.04899,1.04908,0.0,0,1740580757444,134,0.0
1740580757,1.04897,1.04906,0.0,0,1740580757469,134,0.0
1740580758,1.04894,1.04903,0.0,0,1740580758838,134,0.0
1740580760,1.04895,1.04904,0.0,0,1740580760957,134,0.0
1740580762,1.04896,1.04905,0.0,0,1740580762146,134,0.0
1740580766,1.04898,1.04907,0.0,0,1740580766582,134,0.0
1740580766,1.049,1.04909,0.0,0,1740580766663,134,0.0
1740580767,1.04901,1.0491,0.0,0,1740580767817,134,0.0
1740580769,1.049,1.04909,0.0,0,1740580769189,134,0.0
1740580770,1.04898,1.04907,0.0,0,1740580770332,134,0.0
1740580770,1.04896,1.04905,0.0,0,1740580770352,134,0.0
1740580770,1.04894,1.04903,0.0,0,1740580770426,134,0.0
1740580770,1.04893,1.04902,0.0,0,1740580770499,134,0.0
1740580770,1.04891,1.049,0.0,0,1740580770923,134,0.0
1740580771,1.0489,1.04899,0.0,0,1740580771982,134,0.0
1740580775,1.04888,1.04897,0.0,0,1740580775892,134,0.0
